Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
case_1,0.798289663,1.067145418,1.024429334,3.585061647,0.38326477,0.301352825,0.235370987,0.262948619,0.267435689,0.230644167,0.331597538,0.258877731,483133.2317,101293.423,1058801.2,575820.9314,483133.6118,3284.17
case_2,0.545686239,0.975234636,0.774847943,3.484193411,0.251017181,0.733363905,0.286767455,0.332619472,0.257035008,0.201817517,0.350984836,0.397088118,479679.3197,70763.16297,1024818.13,545290.6713,479679.6998,3279.83
case_3,0.962214099,0.637530369,1.389503001,3.207917587,0.373353625,0.773014586,0.308651686,0.394804555,0.211092087,0.211332387,0.225690091,0.370070097,473172.121,73872.20687,1021422.03,548399.7152,473172.4906,3301.83
case_4,0.948696727,0.537648759,0.679022835,3.317220062,0.325109296,0.736304723,0.351915098,0.319289653,0.297224417,0.240454219,0.30484239,0.316757665,487749.6941,72624.15551,1034746.94,547151.6322,487750.0848,3279.17
case_5,0.669839002,1.038403101,1.010364613,3.017016614,0.339341593,0.62357856,0.348211066,0.355460609,0.230503733,0.206762075,0.397646917,0.318860716,493818.1882,75378.36873,1043567.75,549905.8771,493818.5894,3285.17
case_6,0.948014226,1.188788903,0.681706414,3.996087246,0.352683492,0.401702634,0.305059985,0.21522764,0.258070996,0.278186102,0.365625975,0.318357776,501349.2317,85485.59587,1061203.64,560013.1042,501349.633,3307.67
case_7,0.692180372,0.721746308,0.525126269,3.429801229,0.212858855,0.205451097,0.249801959,0.295549079,0.254669946,0.246083286,0.343461785,0.22354891,482914.8509,123658.9037,1080948.37,598186.4437,482915.231,3244.67
case_8,0.688303435,0.559291272,1.476858682,3.040946814,0.243635257,0.32822453,0.270106216,0.212292565,0.201098738,0.298023067,0.319620768,0.272317538,454202.6122,97787.11063,1026373.4,572314.619,454202.9712,3278.33
case_9,0.589100968,1.364966507,1.227733322,3.590908701,0.204837784,0.711245252,0.361814704,0.324550191,0.278585294,0.205886157,0.395968811,0.251427784,478605.4522,73086.28415,1026067.74,547613.7925,478605.8323,3306.17
case_10,0.988951582,1.161217143,1.488766714,3.055342191,0.360049728,0.421456359,0.37954377,0.313720045,0.212110144,0.208121049,0.301889213,0.321003146,486491.7446,89541.19273,1050406.44,564068.7011,486492.1354,3318
case_11,0.849963236,0.595628725,1.082069693,3.975644841,0.391265216,0.535048817,0.372172417,0.330677382,0.259028409,0.273419641,0.30862506,0.217488227,491987.327,82367.68437,1048726.78,556895.1927,491987.7178,3282
case_12,0.729662197,0.808838061,1.473053409,3.969323349,0.369092546,0.434313518,0.205243162,0.236504664,0.268241807,0.297624976,0.211796731,0.291218399,464526.0365,89180.59811,1028087.08,563708.1065,464526.4061,3298.67
case_13,0.860986715,1.402311475,0.807344011,3.303160089,0.276966221,0.568781916,0.218296323,0.312057029,0.258240088,0.240012221,0.215810133,0.242226805,474557.688,84909.77193,1033844.73,559437.2803,474558.0682,3289
case_14,0.992218993,1.363445389,0.928208757,3.618195056,0.353256857,0.413409559,0.342611744,0.257096569,0.281252231,0.296597413,0.235506157,0.254638557,493999.9574,91702.10017,1060073.19,566229.6085,494000.3587,3302.17
case_15,0.667891069,1.406745695,0.702041925,3.220899328,0.225208764,0.313497042,0.385661965,0.279397907,0.203156279,0.259719099,0.228802911,0.32889432,489984.0422,103483.9419,1067840.4,578011.4819,489984.433,3267.67
case_16,0.919243414,1.222573534,1.254908269,3.463089789,0.224446949,0.796620278,0.201896467,0.385832886,0.212434062,0.254328122,0.22848707,0.285440262,461502.2333,74471.11824,1010354.74,548998.6266,461502.6029,3309
case_17,0.882503973,0.768578326,1.332299529,3.087971299,0.345358353,0.315771197,0.274532462,0.237290272,0.222724826,0.271853723,0.301540869,0.211402943,471664.6493,103707.2787,1049750.12,578234.8188,471665.0294,3283.33
case_18,0.956021612,0.620250832,1.413216994,3.344747126,0.289389036,0.567667222,0.215758001,0.215422731,0.220070564,0.287741462,0.202077736,0.256364687,446772.1632,84752.49871,1005910.71,559280.0071,446772.5222,3299.67
case_19,0.93890049,1.396018167,1.281397852,3.724126655,0.215031854,0.523861889,0.207049722,0.250648623,0.280486725,0.265774275,0.206189131,0.22860504,458065.1856,86734.629,1019182.3,561262.1373,458065.5552,3308.83
case_20,0.521630173,0.674841218,1.298696204,3.801525211,0.262736632,0.483058906,0.350204182,0.264055204,0.21438979,0.228455771,0.256981021,0.265670904,459579.1517,87563.21121,1021524.38,562090.7512,459579.5213,3269.17
case_21,0.829637443,1.191905985,0.526755163,3.219198608,0.37839847,0.302021701,0.344131273,0.379851441,0.272538837,0.263734379,0.355188322,0.225308359,517583.6266,101180.5511,1093127.86,575708.0911,517584.0384,3285
case_22,0.762071805,1.188717428,1.146607633,3.338419763,0.287099909,0.681804511,0.259305931,0.236484315,0.263195134,0.203112758,0.211615316,0.286095761,459714.0134,79034.57522,1013130.55,553562.0836,459714.383,3297
case_23,0.874614783,1.468413765,1.157098252,3.696091742,0.382008503,0.607394906,0.266649913,0.351405915,0.226102034,0.283684533,0.213952672,0.229545387,485273.6803,82895.71828,1042543.28,557423.2266,485274.071,3305.67
