#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling [kWh],c7: Not Comfortable[Hours]
0,case_1,0.765151586,0.893091441,0.744243876,3.783267852,0.274211397,0.340740362,0.300329888,0.342031585,0.227263357,0.247424881,0.20794097,0.371769808,486345.5203,97918.66781,1058637.73,572446.1762,486345.911,3266.17
1,case_2,0.540806659,0.811442283,0.521672706,3.186853432,0.319022125,0.494458511,0.362413785,0.323757801,0.201571479,0.255920467,0.330739892,0.215677594,493508.9491,86273.70382,1054153.93,560801.2122,493509.3504,3247.67
2,case_3,0.910958807,0.511490248,1.067795585,3.613094407,0.265311648,0.376351315,0.201612955,0.241956203,0.210016462,0.200278194,0.398125898,0.254131478,454986.6499,91599.55271,1020969.66,566127.0927,454987.009,3285.17
3,case_4,0.898881806,0.867572999,0.731389669,3.749150889,0.222237224,0.343829237,0.350543785,0.394898834,0.235986561,0.235521887,0.306753522,0.309287695,493458.9158,95186.46524,1063016.7,569714.0053,493459.3066,3279.83
4,case_5,0.961514255,1.00166858,1.146529204,3.577461315,0.234898507,0.631814414,0.382605727,0.276463682,0.206033617,0.288284221,0.259439164,0.314389262,473485.1299,77729.10615,1025591.85,552256.6145,473485.5101,3307.5
5,case_6,0.651104231,1.437508307,0.925110648,3.097096023,0.246842501,0.68953338,0.21048026,0.217611312,0.269518496,0.276676383,0.261211295,0.244538009,463854.9168,76874.77623,1015110.35,551402.2846,463855.2864,3290.83
6,case_7,0.898004609,1.439671054,1.157457289,3.552210199,0.348459167,0.794814957,0.226426181,0.325351444,0.240998753,0.262554122,0.260739896,0.340860862,480033.2803,71618.12629,1026026.95,546145.6346,480033.671,3312.5
7,case_8,0.670943362,1.300527456,0.795533339,3.897514513,0.290486416,0.243168138,0.257893065,0.319461211,0.287221058,0.252653904,0.376039426,0.200549348,494274.5914,109779.9062,1078425.54,584307.4462,494274.9926,3276.17
8,case_9,0.971016851,0.586302468,1.351868969,3.048788373,0.253412945,0.680044206,0.21969806,0.224010213,0.205263319,0.242100584,0.219950331,0.380853075,444932.664,76243.14975,995562.44,550770.6581,444933.023,3301.83
9,case_10,0.667391765,1.157356061,1.447821607,3.191561587,0.326842655,0.533174498,0.329526945,0.361788582,0.207171601,0.275926306,0.201156274,0.24315171,471705.7277,88075.41012,1034159.29,562602.9185,471706.1078,3292
