#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
0,case_1,0.893342324,1.307157097,1.209920371,3.859016387,0.326211807,0.634680645,0.281164767,0.385254027,0.269676322,0.299401147,0.347819741,0.318648427,494454.9034,73870.97174,1042696.86,548398.4801,494455.3046,3320.5
1,case_2,0.547757089,0.989158534,1.285345277,3.165787645,0.25022412,0.714707085,0.207504778,0.32931415,0.239545189,0.261752969,0.397506353,0.282115738,459511.1242,72160.91842,1006054.07,546688.4268,459511.4938,3293.33
2,case_3,0.507314968,1.494008385,0.964918855,3.285458481,0.321755521,0.288297705,0.392491059,0.261282916,0.215141927,0.270047885,0.277576741,0.257348924,495187.2605,107291.4043,1076849.4,581818.9127,495187.6512,3266.17
3,case_4,0.913515649,0.887919317,0.77132927,3.413370727,0.23154037,0.365463934,0.282995115,0.347600243,0.280009642,0.269692139,0.345506948,0.352117971,486607.9046,89086.47487,1050067.85,563613.9832,486608.2954,3282.5
4,case_5,0.840448531,0.87130285,1.303573078,3.978161803,0.232054117,0.739250837,0.369384494,0.252869438,0.296150932,0.284096826,0.329079643,0.284550914,472966.4544,71337.81512,1018682.03,545865.3235,472966.8346,3314.17
5,case_6,0.625367867,1.417782704,1.326782431,3.291478205,0.381363993,0.462082655,0.280864164,0.294763489,0.211163906,0.251342107,0.272105165,0.272657982,479152.3123,88482.40129,1042010.53,563009.9096,479152.6925,3296.83
6,case_7,0.573973271,1.478351931,0.634491165,3.019215272,0.35552406,0.313134929,0.288740982,0.296162886,0.209269544,0.218424729,0.274397984,0.296496317,497452.8451,103635.1345,1075458.02,578162.6428,497453.2464,3259.33
7,case_8,0.971160995,0.797602728,1.128354149,3.503425354,0.236601307,0.720352357,0.321199624,0.324214861,0.246803193,0.23030141,0.203006841,0.218695329,458110.1818,80082.85222,1012575.5,554610.3606,458110.5514,3292.67
8,case_9,0.994193468,0.670284435,1.141904101,3.166942431,0.222406248,0.259611794,0.304759149,0.238218851,0.277366317,0.248048164,0.396320182,0.279748544,474557.6141,103659.8054,1052594.68,578187.3138,474557.9942,3291.17
9,case_10,0.976489123,0.726045108,0.528713875,3.491451863,0.376820887,0.492380824,0.25712651,0.273030758,0.227611657,0.201714792,0.331826289,0.323206528,486628.2432,83056.88691,1044058.58,557584.3953,486628.6339,3279.17
