#,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Y1,Y2,Y3,Y4,Y5,Y6
0,10,0.165416193,0.116504873,0.377244977,0.497312462,0.593609767,0.634187737,0.331912854,0.548257359,0.53442823,0.344142363,0.553162082,0.655550013,0.726120556,0.843754449,0.456742937,0.300790939,0.94766041,0.123121112,0.363549087,2.031588809,0.51737183,10.668723,0.85694511,7.585217277,0.886673915,16.87044593,0.895090236,25.91907682,31.78297,53747.89502,12455.52483,68048.02965,46175.32338,66203.41985,134251.4495
1,220,0.127847466,0.176937697,0.317412495,0.524702806,0.340429787,0.430829115,0.396113011,0.396340667,0.612712043,0.452539326,0.678603516,0.570525952,0.758263694,0.733858824,0.876172574,0.398853789,1.237573978,0.210608431,0.276392655,2.316434177,0.538885217,9.442003243,0.775629214,6.868879857,0.799218879,16.28308148,0.918465912,26.98755608,33.42032619,53285.13863,9294.54009,67394.09178,50576.17113,62579.67872,129973.7705
2,260,0.111367755,0.131040314,0.652854955,0.610746816,0.549920939,0.583771584,0.280664017,0.317286261,0.578111706,0.387513236,0.77090237,0.579637362,0.635530693,0.73562234,1.362382136,0.378994329,0.87453046,0.308432907,0.345554759,1.992906915,0.710812291,8.458136767,0.921654576,12.53708057,0.867125493,14.36492658,0.785701124,24.30123501,29.14804661,65314.86695,17220.8337,50860.77558,46129.20003,82535.70065,133396.4762
3,250,0.143108231,0.206916822,0.407538156,0.309071225,0.505428412,0.463032942,0.54009698,0.431195323,0.493213412,0.413859273,0.765978034,0.592036808,0.764840397,0.529667143,1.210710391,0.241531029,0.662703864,0.179300854,0.336781774,1.754223763,0.757180901,7.244233059,0.773871246,6.891670371,0.71639011,14.7201238,0.891072398,26.03675417,34.67123504,67019.55439,7396.71711,59108.04912,56955.34926,74416.2715,133524.3206
4,320,0.167081075,0.183194759,0.438939515,0.627469982,0.622548688,0.615585849,0.396769009,0.506047911,0.507089511,0.463576219,0.881844696,0.651798337,0.716764198,0.738466028,1.033710716,0.362309101,1.129950657,0.154213405,0.243057007,2.157655352,0.602152795,12.59395463,0.785472916,10.1222586,0.758820636,13.16891196,0.876776254,25.89106625,29.6513701,43408.51939,12635.09034,52030.84371,65119.46997,56043.60973,108074.4534
5,240,0.140665402,0.186396169,0.509749175,0.277944661,0.261149716,0.45321863,0.372033551,0.460834891,0.461938236,0.588606245,0.7310839,0.84865641,0.612140228,0.723265461,0.292659518,0.325686118,0.850356421,0.129407954,0.2432713,2.271983871,0.63986807,10.39367226,0.789270925,11.17364269,0.799181764,15.3061174,0.832317602,26.43487779,29.22751138,48103.02949,13764.26712,57408.5124,54002.74854,61867.29661,119275.809
6,10,0.122277054,0.15592797,0.568353122,0.600181448,0.398641078,0.349323453,0.48161122,0.423859931,0.416963183,0.54544665,0.657371693,0.680191358,0.925894066,0.78137798,1.189677009,0.265228281,0.821625469,0.147586195,0.321194613,1.614657959,0.61795389,9.334075106,0.829338134,11.51727865,0.91185816,17.34015429,0.767075409,24.71232765,18.77493501,50724.61558,17556.06102,59939.51202,49299.06282,68280.6766,128220.1886
7,250,0.186381131,0.200314842,0.549470895,0.66901514,0.526100289,0.50636751,0.488049152,0.377306459,0.363969818,0.470149869,0.826893545,0.901776733,0.732598629,0.658365828,1.272644025,0.39391489,1.443145397,0.312430895,0.312101982,1.852869131,0.415489546,7.670999909,0.936969752,8.660776542,0.91882737,15.17999934,0.842394758,26.1519844,29.78301482,63522.06423,16920.46131,57624.81963,73310.42103,80442.52554,138067.3452
8,10,0.174011001,0.145988301,0.381575954,0.562061169,0.438795265,0.374077967,0.393492637,0.416916562,0.53673407,0.460491853,0.757266875,0.694858771,0.90862403,0.664412157,0.203157181,0.292158565,1.212648048,0.213943392,0.319320801,1.933667167,0.523235567,7.607703987,0.909394617,7.012332424,0.746637809,13.88033037,0.807812235,26.37174536,38.03628348,62116.22396,9334.86246,50528.03673,50813.184,71451.08642,121979.1232
9,60,0.14949515,0.146739686,0.426289768,0.595536922,0.633644894,0.470128317,0.577625321,0.458729785,0.508074087,0.653253997,0.840932251,0.820812652,0.667931524,0.648102017,0.574110226,0.266829739,0.501664523,0.283846218,0.363402756,1.980541369,0.629951476,11.86852386,0.778795839,9.212947395,0.866015739,15.1874557,0.826702977,27.18473912,30.30310634,49205.43431,11581.12356,56579.18808,53235.5346,60786.55787,117365.746
10,280,0.144987332,0.167993213,0.468922247,0.672913792,0.638997643,0.584952418,0.478493132,0.45505708,0.653540969,0.421059285,0.622733818,0.648871525,0.707063397,0.783592031,1.296853346,0.325703722,1.336215451,0.235216481,0.206810252,1.680017548,0.515444363,13.28948732,0.728724328,8.08815956,0.793096712,12.84055187,0.8666399,26.9381429,31.40667519,39744.03313,10667.85834,50146.9542,59905.91604,50411.89147,100558.8457
11,140,0.169644463,0.18099067,0.600614168,0.535860153,0.460982822,0.323543481,0.469737546,0.537520903,0.449916222,0.516939509,0.758717716,0.660181168,0.663974366,0.669066615,1.246202782,0.365735245,0.603281795,0.29123234,0.384837757,1.880231575,0.485356592,12.13233804,0.7599868,8.955570035,0.908959489,17.14033048,0.86902817,26.74657013,33.94274887,53646.09805,14693.1237,67123.59738,56208.16407,68339.22175,135462.8191
12,310,0.158551858,0.209989433,0.415594025,0.410625437,0.495091528,0.563547797,0.414959441,0.327373763,0.441657335,0.482860975,0.516783305,0.789451012,0.866149068,0.604673658,1.042363447,0.358589218,1.324414192,0.331680895,0.395823438,2.095658824,0.535884699,10.1477635,0.924240931,9.334781662,0.761452627,15.57029832,0.771018677,24.75759794,21.58342104,52851.2442,12977.10945,54098.35026,66975.11322,65828.35365,119926.7039
13,340,0.191376997,0.14808302,0.413901246,0.327401247,0.538135057,0.287551573,0.632396298,0.278923131,0.400413004,0.509795956,0.608038132,0.743110166,0.82708935,0.648681087,1.006193294,0.344129669,1.092128105,0.128978235,0.203428261,2.034422456,0.622264022,6.50189214,0.83356997,9.654889972,0.890536827,14.85456583,0.956553941,25.15751407,33.38305046,71908.1175,14524.50615,64031.19435,50281.68147,86432.62365,150463.818
14,320,0.146366094,0.175707353,0.451018094,0.566570014,0.437806283,0.576943017,0.493978367,0.231757706,0.50101768,0.525171583,0.967787256,0.766006661,0.788086982,0.7169246,1.46484762,0.344687358,1.265439186,0.100850065,0.262858768,1.774384463,0.558474919,7.268302187,0.760193778,11.24756243,0.840688202,14.01609938,0.907518072,24.96515579,40.28000237,74388.93477,16274.28642,57319.79403,60275.56338,90663.22119,147983.0152
15,180,0.162771927,0.203348691,0.559821522,0.524996951,0.553922241,0.579965512,0.325139973,0.421104105,0.609284853,0.475881575,0.680998471,0.532511098,0.78255685,0.730481843,0.442561423,0.251285542,1.299911483,0.196470323,0.39236484,2.079288666,0.503867572,14.01159792,0.715406928,6.167805784,0.855283941,15.21035827,0.899335175,26.66048473,20.66379328,38157.90375,9419.18268,61642.92042,62212.75389,47577.08643,109220.0069
