#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
0,1,240,0.135286282,0.167908544,0.58925754,0.717594349,0.819095733,0.538256948,0.507720828,0.459403694,0.521572369,0.439813577,0.599200894,0.934778044,0.61345519,0.759357828,1.010693867,0.657606682,1.019013723,0.25100945,0.356427216,2.676631578,0.522650833,12.79278648,0.921649251,7.284602592,0.797822813,12.44896105,0.819233146,25.3468826,25.71022853,17,48291.02319,8920.78563,41780.16216,60903.15486
1,2,90,0.179928012,0.144703315,0.777914125,0.646848007,0.586444707,0.610240399,0.556017465,0.224801484,0.562106521,0.500701594,0.674338909,0.540917174,0.893010637,0.599622789,0.982001815,0.509985527,1.100924259,0.484207077,0.418415439,2.100030251,0.626750741,15.13473446,0.740325298,6.595484854,0.949602062,12.54938511,0.776244975,24.11639694,25.33116426,18,56089.05868,9782.75109,43897.86975,62341.84041
2,3,110,0.159347101,0.147473164,0.671874727,0.760361996,0.791324612,0.641040799,0.395461059,0.454633383,0.605299144,0.417483137,0.912610747,0.693008131,0.766272337,0.936047952,1.154984816,0.583602907,0.539897435,0.194142673,0.345400913,1.591134518,0.673308605,15.7759464,0.783783815,7.403610327,0.963827824,12.5022387,0.828680169,24.33689316,26.19783784,19,57264.87874,13426.43361,50931.38469,68719.85442
3,4,80,0.170955613,0.143669514,0.642274616,0.720971119,0.662694174,0.523087177,0.466284223,0.463575268,0.373697187,0.5334612,0.766690333,0.745659089,0.672873681,0.798736848,0.743101329,0.731774134,1.031563591,0.155535899,0.353657216,2.633567877,0.683570707,14.99254146,0.802732529,5.846106389,0.825645783,13.59490849,0.83836375,24.8201912,25.10008236,18,48818.44585,7628.98848,51360.70299,60353.13432
4,5,220,0.16244609,0.21111657,0.708844954,0.828738007,0.788451005,0.583476387,0.514061808,0.438247982,0.522147671,0.476847842,0.697686299,0.671247628,0.647599025,0.764885023,0.710598561,0.624494158,0.561755713,0.484990328,0.191149179,1.837386327,0.525178314,12.91158716,0.805659547,7.262461856,0.745093806,12.96109286,0.70514646,24.48901645,27.89782291,17,49450.72106,8205.84591,37441.25802,74464.2111
5,6,250,0.165142162,0.158683949,0.853046355,0.469314092,0.713724202,0.745562885,0.409815225,0.351649465,0.4766208,0.431448075,0.880214183,0.809174807,0.724006971,0.875693775,0.414445235,0.588977853,0.414041974,0.480855201,0.316896147,1.144274114,0.64811839,12.09458221,0.861244305,8.600734182,0.794974257,12.18282972,0.895794157,24.36052998,26.02409202,17,55753.42043,10175.05626,44708.06784,72656.04171
6,7,350,0.149656941,0.166001743,0.723122279,0.783969896,0.839219174,0.688981922,0.629728352,0.292258169,0.523280957,0.332718005,0.658747108,0.911030631,0.877285878,0.636301714,0.494099428,0.55635953,1.04963798,0.179018968,0.26213865,1.041802287,0.501462767,14.9974532,0.931335095,7.260208872,0.796576168,12.8394581,0.762850947,24.58493047,23.91294002,19,49235.63463,13635.38661,48150.09273,65923.99134
7,8,50,0.122038926,0.182009944,0.735342326,0.629176059,0.681003013,0.705260711,0.514399551,0.496368619,0.367913927,0.513842803,0.811566762,0.810137561,0.65646234,0.700008727,0.552164503,0.798766144,0.600958615,0.155161795,0.245045411,2.543491725,0.4722903,12.98935523,0.752204769,6.149457649,0.770974287,11.00054197,0.750874928,24.66347263,25.56926217,19,50206.07798,10740.07302,40606.206,62214.4314
8,9,20,0.184216383,0.173747186,0.485179437,0.657623879,0.825702163,0.361200291,0.437908493,0.518873944,0.475179785,0.574470661,0.585958151,0.669445964,0.760297376,0.67853909,0.822275721,0.602733141,0.796551125,0.194178527,0.249829641,1.142914248,0.504334849,14.43394656,0.842079734,8.143752896,0.799565239,13.41352151,0.958522909,25.3956896,23.82052395,17,45089.39998,10178.37204,52671.3942,63827.29023
9,10,110,0.159786153,0.12939139,0.61225927,0.716803182,0.424070267,0.759117672,0.450272766,0.483109851,0.596855525,0.342208727,0.90015093,0.917378638,0.641176563,0.517027996,0.992231516,0.436773334,0.670129264,0.263896299,0.408849711,1.531305536,0.619282416,13.96469792,0.751731938,5.395678312,0.776300132,12.99239117,0.793409562,25.04151256,20.2028599,19,54675.03002,8273.86191,50675.40909,50167.11375
10,11,310,0.169759944,0.159202908,0.615966014,0.682217364,0.729924256,0.538154214,0.366049891,0.441023803,0.384888996,0.371512037,0.72272142,0.66855746,0.703070579,0.672746237,1.039049703,0.4987408,1.09396854,0.376669835,0.363936476,1.088554919,0.720892537,12.95657622,0.734618003,5.481189161,0.83397888,12.49517861,0.788649645,24.72677921,25.99881998,19,56943.52385,9566.20188,48443.70276,60824.75661
11,12,40,0.137447199,0.172852587,0.824568728,0.417385305,0.60720575,0.507233934,0.363113925,0.431141454,0.455148299,0.382948345,0.988467777,0.918923458,0.765777585,0.941380532,0.427973738,0.709540703,1.059777396,0.290949678,0.180014125,2.750796018,0.477614648,13.87467419,0.80252074,6.612028939,0.762353102,13.14567432,0.775071476,24.29774689,25.22877728,18,47189.17162,10071.16836,45914.17791,68136.0744
12,13,70,0.164222407,0.172329418,0.396152639,0.664012527,0.856772761,0.435603301,0.512321212,0.628512495,0.558922613,0.399513391,0.641051535,0.64569506,0.74208463,0.64789551,0.707495384,0.403351749,1.00111558,0.224940141,0.223137834,2.689811873,0.438836704,13.25542071,0.843986777,6.174547285,0.797833147,12.4987349,0.782145469,24.0825156,23.67443647,18,49689.95099,9049.53207,44053.02798,66179.33583
13,14,220,0.164509102,0.138151794,0.748714425,0.425110989,0.503685296,0.74787925,0.475112613,0.417365467,0.486020289,0.43179872,0.889626509,0.698546534,0.900637704,0.623593268,0.986272202,0.624653196,0.634559232,0.312023199,0.313362481,2.615071793,0.418258861,13.20777983,0.795170559,5.232145691,0.926834256,12.16824638,0.822034598,23.22744076,21.33946993,19,58438.38037,11714.11446,49173.23976,58913.35332
14,15,30,0.19021201,0.207559343,0.822541918,0.789011114,0.735879018,0.715244277,0.438263792,0.467709672,0.385337084,0.43688254,0.782259875,0.590515392,0.84237963,0.709854589,1.009837504,0.558104444,0.400653956,0.436591449,0.288700245,1.49064205,0.48654006,14.17745888,0.906333731,6.465808124,0.816527378,11.21699089,0.87133603,23.22361073,26.82986402,18,57805.16667,10573.39131,44043.74445,84077.50098
15,16,70,0.173494983,0.181073024,0.507938379,0.507955342,0.708721045,0.40953853,0.401979188,0.493382668,0.469363342,0.535894176,0.613407117,0.868767821,0.65301307,0.654904856,0.6113743,0.56665852,0.559667996,0.35365911,0.218579732,2.911821499,0.504267952,11.82905708,0.780503373,7.437918858,0.875117165,12.28217635,0.865837214,25.69226807,24.99767894,17,45937.55841,10042.9221,43565.33691,64161.50712
16,17,90,0.166984992,0.18630802,0.567005617,0.652222974,0.476110168,0.583277044,0.496756934,0.514283364,0.344787631,0.406766813,0.842810559,0.553035235,0.779460269,0.805659232,1.03878367,0.657573649,0.609661128,0.478511262,0.15767094,1.496922885,0.552409453,15.19045851,0.827815178,6.325337117,0.7981728,13.25304704,0.840067068,24.35595398,26.79543078,17,46531.23563,8279.51901,45609.90768,70313.08344
17,18,250,0.137902904,0.181798562,0.482870386,0.658795579,0.670137036,0.528586218,0.668554406,0.324402912,0.454489918,0.375113083,0.60339637,0.877991891,0.779881508,0.681065945,1.125004961,0.657841422,0.900691097,0.425814773,0.29500208,1.524647567,0.556751657,13.75815685,0.933996879,6.251296802,0.936883538,13.2905981,0.851571223,24.92475584,25.18055449,19,59413.14884,12750.06681,55638.60528,63213.23001
18,19,150,0.197263563,0.185958233,0.845571843,0.454087574,0.662964114,0.802403798,0.553558111,0.624461813,0.651953515,0.452679509,0.817634161,0.630275664,0.795347129,0.721927237,1.156856181,0.40486781,0.425059318,0.198797518,0.464292732,1.452922842,0.526246996,11.4938776,0.805654274,8.22275689,0.968309593,13.40919497,0.806077165,24.67341533,21.97130006,19,65372.75981,15544.71999,53136.14949,76001.94822
19,20,60,0.160524775,0.187287856,0.559934239,0.505595513,0.618138349,0.65708071,0.47271394,0.449698474,0.527488113,0.494886885,0.63857941,0.809486231,0.765802301,0.739943514,0.895299921,0.402866034,0.477492053,0.182146543,0.427427545,1.939392007,0.476865634,15.2137217,0.804667928,6.333169804,0.907748719,13.49082771,0.777479676,25.28497661,24.81903497,18,52024.47048,10208.10288,47266.10709,68131.67625
20,21,50,0.14552137,0.139244877,0.749188896,0.55006865,0.320450484,0.671954697,0.530786561,0.348227688,0.519317644,0.362379065,0.664616292,0.649238314,0.795524335,0.652957211,0.463518526,0.683993322,0.626771376,0.311057075,0.295596697,1.929088673,0.624878186,11.11156273,0.801633328,4.551092517,0.870749557,12.18226202,0.950890251,24.84012121,23.85126127,19,60737.15549,8047.61061,56946.76878,49215.75957
21,22,300,0.173285958,0.165600449,0.352320673,0.812190306,0.708878734,0.518898316,0.534142486,0.58097947,0.663427703,0.458241478,0.678806579,0.815600164,0.845467671,0.646996572,0.699116952,0.656612265,0.878123783,0.262012619,0.423640368,2.062415963,0.478446238,12.8246033,0.759971191,5.762329648,0.927504829,12.70328195,0.871767206,24.98153881,22.3015425,17,50579.68311,7758.3039,45367.61703,64329.24831
22,23,300,0.173983791,0.136672307,0.58785767,0.55489887,0.600506879,0.802268228,0.534564271,0.430966533,0.443854408,0.411959473,0.616672616,0.848065898,0.575910061,0.961472906,1.056147834,0.771341129,0.718551821,0.378822701,0.297183065,1.335410286,0.508912163,14.21984528,0.843975233,7.007326908,0.79426554,13.35770399,0.777534669,24.23661025,25.30559994,17,49561.43018,9304.20621,42548.18706,63533.31723
23,24,90,0.158118686,0.193691845,0.541795149,0.359233921,0.468716845,0.741813021,0.534172769,0.448726074,0.489421454,0.55364087,0.755951539,0.724955646,0.691217888,0.713233395,0.914231164,0.588678761,0.652222891,0.462480348,0.354885711,1.268941529,0.471672667,14.24957157,0.885411617,6.370860157,0.796266382,12.78529647,0.843850012,25.22194848,27.06345894,17,52594.15353,7909.3452,44198.301,63904.11234
24,25,70,0.17282659,0.157250251,0.736447061,0.447234974,0.55157154,0.861810726,0.468328523,0.543090591,0.395427198,0.386892531,0.738412639,0.859393151,0.546964198,0.555281273,0.70453378,0.494388212,0.893166079,0.451354127,0.363493246,2.232258162,0.568477143,11.03872399,0.839148049,5.745655167,0.825990091,12.12595407,0.843411404,25.02162823,23.13338203,19,61274.71297,10310.78742,50276.62605,58426.60401
