#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Cooling,Lighting,Equipment,c6: fadianliang,C+L,C+L+P
33553,33554,20,0.171274674,0.166045375,0.658057041,0.780832605,0.717460232,0.610845448,0.642060312,0.486979934,0.457082287,0.419506111,0.569184976,0.770116477,0.608219014,0.666885939,1.478770916,0.783827758,0.898532102,0.307191293,0.212214638,2.143678752,0.625915586,5.180735689,0.793433115,12.337036,0.932415601,16.99968119,0.752046223,25.56753965,20.09967223,310990.48,84719.1,264271.91,283647.69,395709.58,659981.49
9427,9428,70,0.208430574,0.134842447,0.576411994,0.785463937,0.727724688,0.654094372,0.305202982,0.497192763,0.606313122,0.421988896,0.823873057,0.861900791,0.840056424,0.587121107,1.423915924,0.501049295,1.122526838,0.267833759,0.322248584,1.958989077,0.469583277,8.770564488,0.876232548,6.570530676,0.756721263,16.22542235,0.835849723,25.87008445,33.4718,290688.3,40573.34,280343.12,331505.55,331261.64,611604.76
199,200,280,0.157506702,0.206535299,0.564512749,0.734877092,0.78839758,0.74670645,0.353053885,0.280062516,0.416625463,0.596226355,0.600825282,0.68512334,0.867048028,0.663528221,0.635468777,0.311063233,1.383035643,0.342169054,0.322542891,2.085330688,0.482110798,8.575119191,0.980927144,9.225520854,0.821296278,12.36908474,0.763387464,26.8235552,37.52999503,272574.0571,63070.0,195185.83,349172.01,335644.0571,530829.8871
12447,12448,50,0.196012434,0.215617465,0.605175565,0.543961155,0.648384187,0.694188229,0.358960076,0.519268938,0.67165199,0.378901848,0.743591872,0.74906371,0.951431995,0.757851027,1.091423309,0.416735832,0.958117142,0.288934127,0.333713739,2.070738449,0.646868028,10.90469814,0.799484558,10.17208074,0.825356323,14.97975428,0.8442143,25.90139424,28.34054894,242885.5971,57775.1,261410.53,389250.24,300660.6971,562071.2271
39489,39490,80,0.132870933,0.176876768,0.668443236,0.792871622,0.547192652,0.834353082,0.638758771,0.522711724,0.481124953,0.551677399,0.668746544,0.792259011,0.538546813,0.501739467,1.044697002,0.540540919,0.914623365,0.282243732,0.291481978,1.668811113,0.700669739,7.0812966,0.900249805,9.135749799,0.780589314,17.91017451,0.812012235,27.31809863,32.09880911,300082.9114,46076.55,300627.07,251895.1,346159.4614,646786.5314
42724,42725,150,0.199286048,0.222101771,0.724616892,0.732287865,0.8642448,0.844291683,0.262919522,0.302628818,0.478262429,0.39701203,0.70499532,0.772636663,0.6735957,0.705438861,0.488667072,0.606606452,0.511492102,0.256026709,0.32250728,1.905852395,0.692605936,10.6686329,0.968754939,8.273561302,0.817390293,12.78836906,0.791990998,25.85979184,39.85052633,255655.0686,52527.47,209363.56,395654.4,308182.5386,517546.0986
10822,10823,360,0.107614811,0.227953075,0.775840298,0.752970038,0.719397783,0.844063821,0.445814341,0.442629078,0.333737736,0.47099081,0.767603454,0.733841701,0.767042493,0.556729152,0.633068951,0.472327048,1.164655355,0.194385821,0.361926117,1.725881283,0.511585245,10.18318021,0.79417254,9.69110734,0.78772596,16.77722535,0.932582936,25.17181985,29.39129531,260358.6743,67522.68,323424.78,313454.71,327881.3543,651306.1343
49498,49499,230,0.180059855,0.214072881,0.742453144,0.723253677,0.654426912,0.699059091,0.633731779,0.480509075,0.505673013,0.511445123,0.728088802,0.899111882,0.787115315,0.570204996,1.213917828,0.337293853,0.726965695,0.343134314,0.310211209,1.519442262,0.526938248,7.779705066,0.867469148,8.944947922,0.891199353,15.23589763,0.787923236,26.21832198,33.10834577,305205.8029,60982.69,248151.92,358740.7,366188.4929,614340.4129
4144,4145,270,0.216046489,0.175739717,0.670503066,0.744507961,0.802661838,0.70637522,0.596329165,0.531753381,0.424477714,0.508057219,0.677470961,0.646919152,0.746571914,0.760822014,0.485547954,0.779578834,0.969104666,0.106011382,0.388798655,1.558423509,0.60701342,7.926600952,0.759281391,12.29506583,0.879240351,18.40589999,0.837002713,25.70186578,36.09165109,331618.1886,78978.74,318456.13,375553.14,410596.9286,729053.0586
36958,36959,280,0.101749681,0.228529878,0.744632024,0.636366028,0.741784923,0.594215659,0.510613488,0.576519536,0.582501479,0.654762388,0.886650132,0.852480274,0.715710736,0.622438694,0.856368247,0.681040839,0.550493387,0.193311429,0.210236199,1.435644028,0.46760265,8.919161108,0.77646264,7.11091584,0.921571242,12.5691773,0.849813115,26.07660971,22.38813748,221465.6514,48894.85,220798.42,276877.32,270360.5014,491158.9214
