#,Job_ID,@@tag1@@,@@tag2@@,@@tag3@@,@@tag4@@,@@tag5@@,@@tag6@@,@@tag7@@,@@tag8@@,@@tag9@@,@@tag10@@,@@tag11@@,@@tag12@@,Cooling£¨MWh),Cooling£¨kWh/©O),Total£¨MWh),Total£¨kWh/©O),Coolingpeak£¨kW),Coolingpeak£¨W/©O),Very-hot(h),COM(h)
0,LHS-000000,0.5,0.5,1,3.5,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.3,108.61,22.63,385.85,80.39,139.26,29.01,318.75,3265.25
1,LHS-000001,1,1,1.5,4,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,108.56,22.62,386.23,80.47,145.24,30.26,249.15,3334.85
2,LHS-000002,0.5,1.5,0.5,4,0.2,0.2,0.4,0.3,0.3,0.3,0.2,0.4,110.67,23.06,388.37,80.91,146.77,30.58,281.15,3302.85
3,LHS-000003,0.5,1,1,3,0.3,0.4,0.2,0.4,0.3,0.3,0.4,0.2,108.13,22.53,385.51,80.31,138.78,28.91,303.7,3280.3
4,LHS-000004,1,0.5,1.5,3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,107.44,22.38,384.71,80.15,135.79,28.29,343.16,3240.84
5,LHS-000005,0.5,0.5,1.5,4,0.4,0.4,0.2,0.3,0.3,0.3,0.2,0.4,106.12,22.11,383.4,79.88,136.69,28.48,277.09,3306.91
6,LHS-000006,1,1,1,3,0.2,0.4,0.3,0.2,0.3,0.3,0.4,0.4,109.68,22.85,387.31,80.69,143.74,29.95,296.58,3287.42
7,LHS-000007,0.5,1.5,1.5,3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,104.62,21.8,381.82,79.55,136.33,28.4,218.25,3365.75
8,LHS-000008,1,1.5,1,3,0.3,0.4,0.3,0.2,0.3,0.2,0.2,0.2,107.68,22.43,385.2,80.25,140.7,29.31,266.45,3317.55
9,LHS-000009,0.5,1.5,1,3.5,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.2,106.46,22.18,383.89,79.98,138.75,28.91,234.76,3349.24
10,LHS-000010,0.5,1,1.5,3.5,0.4,0.2,0.4,0.3,0.3,0.3,0.4,0.3,108.88,22.68,386.29,80.48,142.68,29.72,270.87,3313.13
11,LHS-000011,0.5,1,0.5,4,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.3,108.19,22.54,385.53,80.32,138.93,28.94,306.38,3277.62
12,LHS-000012,1,0.5,1,4,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,103.3,21.52,380.41,79.25,130.97,27.29,251.1,3332.9
13,LHS-000013,0.5,0.5,0.5,3.5,0.4,0.4,0.2,0.4,0.2,0.3,0.2,0.3,108.32,22.57,385.58,80.33,137.17,28.58,391.56,3192.44
14,LHS-000014,0.5,0.5,0.5,4,0.2,0.4,0.2,0.4,0.3,0.3,0.2,0.3,108.18,22.54,385.52,80.32,139.2,29,355.22,3228.78
15,LHS-000015,0.5,1,1.5,4,0.3,0.2,0.2,0.4,0.2,0.3,0.4,0.4,107.27,22.35,384.71,80.15,142.45,29.68,226.04,3357.96
16,LHS-000016,1,1.5,1.5,3,0.2,0.4,0.2,0.4,0.3,0.2,0.3,0.2,106.95,22.28,384.46,80.09,141.11,29.4,242.23,3341.77
17,LHS-000017,1,1.5,0.5,3.5,0.4,0.3,0.3,0.3,0.3,0.2,0.4,0.2,112.09,23.35,389.91,81.23,148.5,30.94,316.82,3267.18
18,LHS-000018,1,0.5,1.5,4,0.4,0.2,0.4,0.4,0.3,0.3,0.3,0.2,107.31,22.36,384.61,80.13,138.77,28.91,293.65,3290.35
19,LHS-000019,0.5,1,1,4,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.4,104.83,21.84,382.09,79.6,135.52,28.23,223.94,3360.06
20,LHS-000020,0.5,0.5,1.5,4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.4,100.47,20.93,377.34,78.61,127.22,26.5,200.85,3383.15
21,LHS-000021,0.5,1,0.5,3,0.2,0.4,0.3,0.3,0.2,0.2,0.2,0.2,106.56,22.2,383.73,79.94,133.55,27.82,328.14,3255.86
22,LHS-000022,0.5,0.5,1.5,4,0.2,0.3,0.4,0.2,0.3,0.3,0.3,0.4,105.42,21.96,382.62,79.71,135.24,28.18,246.19,3337.81
23,LHS-000023,0.5,0.5,1.5,3.5,0.3,0.4,0.3,0.4,0.2,0.3,0.3,0.3,106.62,22.21,383.8,79.96,135.11,28.15,310.85,3273.15
24,LHS-000024,1,1,1,3.5,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.3,109.21,22.75,386.78,80.58,142.37,29.66,297.13,3286.87
25,LHS-000025,0.5,1.5,1,3.5,0.2,0.4,0.3,0.2,0.3,0.3,0.3,0.4,108.96,22.7,386.6,80.54,144.13,30.03,254.35,3329.65
26,LHS-000026,1,1.5,1,4,0.2,0.3,0.3,0.2,0.2,0.2,0.4,0.2,108.51,22.61,386.17,80.45,144.31,30.06,240.38,3343.62
27,LHS-000027,0.5,1,1.5,3,0.3,0.4,0.4,0.2,0.2,0.2,0.4,0.2,107.05,22.3,384.26,80.05,136.89,28.52,286.87,3297.13
28,LHS-000028,1,1,0.5,4,0.3,0.4,0.4,0.4,0.2,0.2,0.4,0.2,113.66,23.68,391.43,81.55,149.05,31.05,377.32,3206.68
29,LHS-000029,1,1.5,1.5,3.5,0.2,0.3,0.4,0.4,0.3,0.2,0.4,0.2,110.22,22.96,387.89,80.81,147.43,30.71,262.88,3321.12
30,LHS-000030,0.5,0.5,0.5,3,0.4,0.2,0.2,0.3,0.2,0.2,0.3,0.2,103.48,21.56,380.34,79.24,127.35,26.53,327.06,3256.94
31,LHS-000031,1,1.5,1,3.5,0.2,0.2,0.2,0.4,0.2,0.2,0.3,0.3,107.77,22.45,385.34,80.28,143.28,29.85,239.48,3344.52
32,LHS-000032,0.5,1.5,0.5,3,0.2,0.3,0.3,0.4,0.2,0.3,0.4,0.4,113.67,23.68,391.46,81.55,150,31.25,352.35,3231.65
33,LHS-000033,0.5,1.5,1.5,4,0.4,0.3,0.4,0.4,0.2,0.2,0.4,0.4,113.03,23.55,390.83,81.42,153.53,31.99,279.33,3304.67
34,LHS-000034,0.5,1.5,1.5,4,0.4,0.4,0.2,0.3,0.3,0.3,0.2,0.2,107.62,22.42,385.18,80.24,142.79,29.75,244.17,3339.83
35,LHS-000035,1,0.5,1,3,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,106.04,22.09,383.27,79.85,133.83,27.88,319.13,3264.87
36,LHS-000036,0.5,1.5,1,4,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,105.68,22.02,383.02,79.8,138.12,28.78,221.44,3362.56
37,LHS-000037,0.5,1.5,1.5,4,0.4,0.2,0.3,0.4,0.3,0.2,0.4,0.2,108.67,22.64,386.2,80.46,145.04,30.22,234.93,3349.07
38,LHS-000038,0.5,0.5,0.5,3,0.4,0.3,0.4,0.2,0.3,0.2,0.2,0.2,105.62,22,382.6,79.71,130.1,27.1,382.72,3201.28
39,LHS-000039,1,1,0.5,3.5,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.3,107.05,22.3,384.45,80.09,138.26,28.8,273.95,3310.05
40,LHS-000040,1,1,1.5,3.5,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,104.04,21.67,381.33,79.44,135.12,28.15,216.46,3367.54
41,LHS-000041,1,1.5,0.5,3.5,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.4,110.74,23.07,388.54,80.95,147.84,30.8,285.44,3298.56
